1.275	-0.04818536	-0.00001393	-0.04817143
1.300	-0.04826706	-0.00001384	-0.04825322
1.325	-0.04834847	-0.00001375	-0.04833471
1.350	-0.04842958	-0.00001366	-0.04841592
1.375	-0.04851041	-0.00001357	-0.04849684
1.400	-0.04859094	-0.00001348	-0.04857747
1.425	-0.04867118	-0.00001338	-0.04865780
1.450	-0.04875113	-0.00001329	-0.04873784
1.475	-0.04883078	-0.00001320	-0.04881758
1.500	-0.04891013	-0.00001310	-0.04889703
1.525	-0.04898918	-0.00001301	-0.04897617
1.550	-0.04906794	-0.00001292	-0.04905503
1.575	-0.04914640	-0.00001282	-0.04913358
1.600	-0.04922455	-0.00001272	-0.04921183
1.625	-0.04930241	-0.00001263	-0.04928978
1.650	-0.04937996	-0.00001253	-0.04936743
1.675	-0.04945721	-0.00001243	-0.04944477
1.700	-0.04953415	-0.00001234	-0.04952181
1.725	-0.04961079	-0.00001224	-0.04959855
1.750	-0.04968712	-0.00001214	-0.04967498
1.775	-0.04976315	-0.00001204	-0.04975110
1.800	-0.04983886	-0.00001194	-0.04982692
1.825	-0.04991427	-0.00001184	-0.04990243
1.850	-0.04998937	-0.00001174	-0.04997763
1.875	-0.05006416	-0.00001164	-0.05005252
1.900	-0.05013864	-0.00001154	-0.05012709
1.925	-0.05021280	-0.00001144	-0.05020136
1.950	-0.05028665	-0.00001134	-0.05027531
1.975	-0.05036019	-0.00001124	-0.05034895
2.000	-0.05043342	-0.00001113	-0.05042228
2.025	-0.05050632	-0.00001103	-0.05049529
2.050	-0.05057892	-0.00001093	-0.05056799
2.075	-0.05065119	-0.00001082	-0.05064037
2.100	-0.05072315	-0.00001072	-0.05071243
2.125	-0.05079479	-0.00001062	-0.05078417
2.150	-0.05086611	-0.00001051	-0.05085559
2.175	-0.05093710	-0.00001040	-0.05092670
2.200	-0.05100778	-0.00001030	-0.05099748
2.225	-0.05107814	-0.00001019	-0.05106795
2.250	-0.05114818	-0.00001009	-0.05113809
2.275	-0.05121789	-0.00000998	-0.05120791
2.300	-0.05128728	-0.00000987	-0.05127740
2.325	-0.05135634	-0.00000976	-0.05134658
2.350	-0.05142508	-0.00000965	-0.05141543
2.375	-0.05149349	-0.00000955	-0.05148395
2.400	-0.05156158	-0.00000944	-0.05155214
2.425	-0.05162934	-0.00000933	-0.05162002
2.450	-0.05169678	-0.00000922	-0.05168756
2.475	-0.05176388	-0.00000911	-0.05175477
2.500	-0.05183066	-0.00000900	-0.05182166
2.525	-0.05189711	-0.00000889	-0.05188822
2.550	-0.05196322	-0.00000877	-0.05195445
2.575	-0.05202901	-0.00000866	-0.05202035
2.600	-0.05209447	-0.00000855	-0.05208592
2.625	-0.05215959	-0.00000844	-0.05215115
2.650	-0.05222438	-0.00000833	-0.05221606
2.675	-0.05228884	-0.00000821	-0.05228063
2.700	-0.05235297	-0.00000810	-0.05234487
2.725	-0.05241676	-0.00000798	-0.05240878
2.750	-0.05248022	-0.00000787	-0.05247235
2.775	-0.05254334	-0.00000776	-0.05253559
