248.19	824
257.10	14
264.63	284
267.42	14
282.70	14
283.17	952
292.78	1016
294.15	142
295.62	206
324.73	888
340.75	824
343.67	14
349.36	888
350.55	1016
352.02	952
356.35	206
363.47	142
72.30	555
73.10	15
100.04	747
105.05	207
108.16	683
112.18	143
118.53	207
119.74	619
131.65	143
149.69	349
172.95	143
176.70	477
181.73	207
203.83	207
210.90	143
211.30	285
212.65	15
226.33	889
251.05	143
258.10	15
259.47	889
295.93	825
297.70	15
318.60	953
321.22	143
323.68	825
324.95	15
344.75	1017
349.12	207
361.44	1017
362.75	15
369.50	953
372.02	143
431.65	143
433.72	207
452.30	207
462.60	15
494.00	143
87.62	684
91.18	144
96.04	620
97.70	556
98.80	16
105.73	748
115.05	208
129.33	208
173.17	286
174.10	16
209.73	144
213.19	350
234.92	478
240.80	208
252.00	208
265.47	208
274.54	1018
282.55	208
296.27	1018
305.87	890
315.23	954
318.45	144
322.82	954
323.17	826
324.52	16
344.07	16
349.17	826
351.90	16
359.77	890
373.20	144
374.30	16
414.62	144
426.60	16
462.57	16
90.48	749
93.48	621
100.76	557
120.17	685
195.80	351
214.94	287
223.18	17
244.61	479
249.22	827
252.48	209
261.58	955
289.55	145
336.56	1019
350.58	827
356.10	209
361.18	1019
361.91	891
370.85	209
443.93	955
450.60	891
452.52	81
478.95	145
488.00	81
85.69	558
87.05	18
100.40	750
105.59	622
108.80	210
123.23	210
125.25	686
130.18	146
151.27	352
155.45	146
181.69	288
183.28	18
190.80	146
251.20	146
262.69	480
268.85	210
279.90	210
289.45	892
291.15	210
298.83	956
302.72	146
303.71	828
306.07	18
337.92	1020
345.20	210
369.58	956
373.47	146
402.32	210
407.95	828
411.90	18
413.65	146
426.77	18
430.72	892
431.51	1020
438.60	210
444.75	146
447.15	18
458.15	82
488.87	210
490.75	18
93.10	147
97.56	623
99.76	559
100.83	19
103.98	211
105.63	751
105.95	687
108.50	147
131.45	147
157.33	147
172.57	353
190.53	147
196.02	481
201.13	211
210.68	147
222.38	211
224.44	289
225.43	19
250.75	147
276.77	893
283.60	19
309.66	957
311.42	147
323.95	957
343.09	829
344.25	19
345.43	829
359.10	893
394.77	19
397.18	1021
400.95	211
406.48	1021
414.57	147
426.32	19
445.52	147
462.57	19
489.02	211
92.96	560
94.40	20
100.95	212
105.76	688
107.26	624
111.93	752
112.75	212
113.58	148
175.30	354
176.02	290
177.43	20
199.59	482
204.15	212
208.05	20
210.33	148
224.60	212
234.48	212
251.53	148
262.29	830
267.25	20
275.38	958
279.20	148
297.89	958
303.54	1022
306.10	212
349.27	830
352.00	20
353.88	894
375.23	1022
379.57	212
401.55	894
405.32	84
88.72	561
94.00	21
97.72	625
100.70	213
111.58	689
112.50	213
133.94	753
137.13	213
153.54	291
156.18	21
161.85	483
167.10	213
171.53	21
178.43	213
187.58	213
196.38	895
217.55	355
252.28	149
274.77	831
280.55	1023
282.60	21
282.75	213
286.25	895
337.03	1023
342.15	213
353.60	959
360.87	149
369.59	831
377.48	959
384.77	149
413.72	149
92.98	150
101.40	562
101.83	214
102.80	22
104.89	626
106.27	690
108.09	754
108.75	150
130.50	214
131.58	150
156.48	150
190.18	150
229.06	356
235.81	896
240.35	214
242.05	292
243.10	22
250.90	150
257.81	960
259.93	150
279.31	484
283.92	214
294.26	896
294.31	1024
295.62	214
322.22	832
323.62	22
328.65	832
329.30	960
331.20	150
343.26	1024
362.05	22
413.97	150
463.47	22
83.33	627
86.03	87
103.80	215
108.43	563
110.23	23
115.80	215
118.91	691
122.20	151
132.34	755
135.68	215
143.25	151
171.95	151
210.28	151
213.97	293
215.78	23
216.35	357
239.95	215
250.70	151
254.60	485
258.93	23
267.57	215
276.92	215
286.42	215
298.75	897
299.95	1025
302.20	215
314.20	833
316.27	23
320.31	1025
340.36	961
342.67	151
344.64	897
370.26	833
372.32	23
387.42	151
394.27	23
396.63	961
398.92	151
427.25	23
471.17	151
92.50	88
99.13	756
101.93	628
102.18	216
110.69	692
120.29	564
125.35	216
168.98	486
173.45	216
184.85	216
204.69	358
213.59	1026
216.63	216
228.15	294
234.35	24
264.72	962
277.56	1026
281.20	216
283.65	152
305.07	152
329.43	962
350.50	898
359.90	898
369.29	834
418.64	834
425.05	24
92.85	89
95.42	757
96.11	629
99.25	565
100.00	217
108.76	693
111.83	217
116.13	153
182.31	295
185.03	25
208.65	25
215.78	359
229.82	487
234.50	217
236.96	1027
251.58	153
284.06	1027
289.42	217
355.27	899
358.02	217
374.68	963
375.46	835
378.75	899
379.12	153
380.80	835
382.75	25
408.60	25
413.17	153
417.85	963
422.32	153
422.62	89
457.77	153
90.74	758
99.65	218
99.86	630
102.02	694
104.63	154
113.75	218
120.52	566
121.85	26
131.70	154
154.59	296
155.85	26
174.92	360
190.30	154
225.10	1028
225.24	964
226.90	154
232.13	218
245.75	218
263.37	900
263.46	836
267.05	26
275.16	488
281.30	218
286.30	836
291.92	26
293.60	218
344.36	964
346.27	154
349.73	900
407.07	1028
414.02	218
414.90	154
463.60	26
463.97	218
94.96	759
96.80	567
108.21	695
111.23	631
114.28	155
165.06	489
172.45	219
183.88	219
206.19	837
