235.08	13
296.80	141
100.55	78
111.13	206
113.15	554
113.80	682
119.22	746
123.23	206
133.67	618
173.04	476
177.68	206
188.63	206
190.68	348
208.43	206
241.55	284
243.63	14
263.10	14
290.82	14
78.58	555
79.35	15
101.43	79
111.79	747
112.55	207
121.52	683
125.78	143
132.63	349
135.39	619
156.15	143
158.22	477
163.60	207
174.65	207
184.43	207
189.33	143
191.01	285
192.18	15
213.95	143
240.53	143
252.88	15
276.77	15
296.17	143
96.92	684
98.45	144
104.65	80
107.01	620
109.00	556
109.50	144
109.98	16
114.48	208
118.62	748
154.87	286
155.65	16
189.60	144
192.80	350
213.10	144
213.25	16
213.39	478
269.95	144
296.40	144
100.35	749
103.94	621
105.33	81
112.66	557
117.38	209
135.90	685
176.32	351
194.46	287
200.88	17
214.08	145
222.57	479
230.33	209
321.87	145
94.61	558
95.90	18
112.22	750
113.03	210
118.44	622
134.13	352
141.99	686
147.48	146
162.95	288
164.38	18
173.05	146
190.28	146
213.83	18
214.43	146
239.60	146
239.70	480
266.27	210
269.37	146
108.50	211
108.82	623
109.00	83
110.10	147
111.47	559
112.58	19
118.49	751
118.87	687
121.73	147
137.60	147
154.31	353
156.00	147
174.90	147
176.53	481
181.23	211
191.03	147
203.46	289
204.30	19
213.08	147
240.73	147
269.42	147
275.22	19
295.20	147
309.32	19
99.03	148
103.32	560
104.73	20
106.88	212
118.65	688
120.44	624
126.04	752
132.40	212
156.89	354
157.58	290
158.88	20
179.91	482
184.30	212
189.88	148
206.08	212
213.03	148
240.15	148
296.30	148
98.24	561
102.08	21
106.53	213
109.02	625
125.62	689
136.28	291
138.28	149
138.53	21
144.15	483
148.65	213
152.39	753
154.78	21
170.03	213
196.93	355
239.80	149
269.80	149
101.35	86
107.08	214
110.58	150
113.43	562
114.85	22
117.60	626
119.26	690
121.44	754
122.13	150
137.68	150
155.90	150
174.80	150
207.84	356
213.10	150
220.15	292
221.15	22
239.63	150
255.45	484
259.98	214
268.95	150
289.20	214
290.40	22
295.55	150
91.79	627
93.18	87
98.83	151
107.98	215
111.23	151
121.85	563
123.40	23
134.40	691
137.33	151
150.48	755
154.50	215
156.58	151
173.13	151
189.85	151
193.53	293
195.10	23
195.79	357
212.80	151
232.03	485
235.08	23
236.35	215
239.38	151
268.40	151
295.55	151
97.50	88
109.15	216
110.71	756
110.83	152
114.06	628
124.55	692
136.05	564
150.90	486
155.28	216
184.74	358
185.98	216
206.98	294
211.98	24
214.00	152
240.38	152
98.53	89
106.26	757
107.10	629
110.63	217
110.85	565
122.23	693
122.98	217
128.58	153
157.45	153
163.54	295
165.93	25
188.55	25
195.25	359
208.55	487
213.13	217
239.43	153
268.80	153
100.43	90
100.66	758
110.13	154
111.58	630
112.40	218
114.17	694
119.63	154
136.32	566
137.27	296
137.68	26
138.03	154
156.40	154
156.53	360
188.93	26
189.48	154
213.48	154
240.25	154
251.52	488
257.25	218
268.15	218
268.62	154
295.20	154
103.48	91
105.72	759
107.92	567
109.63	155
110.38	27
115.18	219
121.58	695
125.20	631
129.18	155
147.20	489
154.73	219
169.53	219
190.33	155
190.53	361
213.83	155
216.91	297
219.58	27
235.05	27
238.78	155
268.75	155
61.74	568
67.85	28
95.14	760
104.02	632
104.63	92
111.03	220
112.66	696
123.78	220
150.89	490
156.35	220
168.98	220
179.95	362
220.26	298
236.35	28
240.50	156
68.85	761
75.23	221
88.28	221
106.35	93
123.51	697
127.13	157
141.98	569
144.60	29
156.15	157
158.00	299
159.09	633
160.15	29
178.77	363
188.73	29
189.14	491
189.70	157
239.85	157
269.52	157
104.85	222
108.92	698
109.27	762
109.63	94
109.88	158
139.14	570
148.97	634
181.71	492
185.98	222
190.08	158
191.37	364
207.13	222
214.85	158
223.91	300
226.85	30
239.83	158
253.73	30
268.50	158
92.87	571
103.43	223
108.85	699
111.63	159
136.57	763
141.40	223
142.59	365
146.59	635
191.07	493
191.35	301
239.18	159
90.01	636
91.85	96
105.15	224
123.04	700
131.15	572
139.35	366
146.28	764
150.48	224
181.27	302
188.30	32
214.38	160
241.32	494
266.67	224
269.82	160
288.32	224
97.78	97
106.45	225
121.81	637
125.70	573
127.16	765
131.99	701
132.38	225
136.75	161
156.65	161
159.42	303
165.80	33
189.43	495
189.45	161
